filename,answer,elapsed
im0017,0,0.15625
im0393,0,0.03125
im0361,0,0.03125
im0308,0,0.03125
im0259,0,0.03125
im0089,0,0.03125
im0387,0,0.03125
im0271,0,0.0625
im0346,0,0.046875
im0363,0,0.03125
im0314,0,0.046875
im0254,0,0.03125
im0270,0,0.0625
im0383,0,0.046875
im0103,0,0.03125
im0035,0,0.0625
im0217,0,0.046875
im0385,0,0.046875
im0283,0,0.046875
im0326,0,0.046875
im0250,0,0.046875
im0025,1,0.078125
im0337,0,0.078125
im0135,0,0.03125
im0093,0,0.046875
im0317,0,0.0625
im0078,0,0.046875
im0350,0,0.046875
im0117,0,0.03125
im0149,0,0.0625
im0262,0,0.046875
im0339,0,0.0625
im0303,0,0.03125
im0298,0,0.0625
im0101,0,0.046875
im0210,1,0.109375
im0116,0,0.09375
im0012,0,0.046875
im0142,0,0.046875
im0073,0,0.0625
im0086,0,0.046875
im0236,0,0.0625
im0106,0,0.0625
im0061,0,0.046875
im0225,0,0.03125
im0134,0,0.046875
im0006,0,0.03125
im0143,0,0.046875
im0389,0,0.0625
im0053,0,0.078125
im0228,0,0.03125
im0264,0,0.046875
im0321,0,0.046875
im0164,0,0.0625
im0185,0,0.046875
im0154,0,0.25
im0085,0,0.0625
im0066,0,0.0625
im0034,0,0.046875
im0295,0,0.0625
im0120,0,0.046875
im0091,0,0.046875
im0244,0,0.078125
im0280,0,0.046875
im0038,0,0.046875
im0058,0,0.046875
im0313,0,0.0625
im0347,0,0.0625
im0014,0,0.0625
im0224,0,0.046875
im0074,0,0.0625
im0193,0,0.078125
im0378,0,0.0625
im0344,0,0.078125
im0312,0,0.046875
im0206,0,0.078125
im0386,0,0.0625
im0110,0,0.078125
im0287,0,0.0625
im0310,0,0.0625
im0155,0,0.0625
im0021,1,0.125
im0119,0,0.078125
im0198,0,0.078125
im0329,0,0.0625
im0126,0,0.0625
im0380,0,0.0625
im0291,0,0.0625
im0334,0,0.0625
im0261,0,0.0625
im0124,0,0.078125
im0097,0,0.0625
im0082,0,0.0625
im0320,0,0.0625
im0071,0,0.0625
im0141,0,0.0625
im0209,0,0.0625
im0309,0,0.078125
im0136,0,0.078125
im0327,0,0.078125
im0170,0,0.0625
im0013,0,0.0625
im0008,0,0.0625
im0132,0,0.078125
im0036,0,0.078125
im0024,0,0.078125
im0260,0,0.0625
im0402,0,0.078125
im0272,0,0.0625
im0200,0,0.078125
im0019,1,0.09375
im0221,0,0.078125
im0084,0,0.0625
im0355,0,0.09375
im0088,0,0.09375
im0294,0,0.078125
im0048,0,0.0625
im0248,0,0.078125
im0311,0,0.0625
im0369,0,0.046875
im0202,0,0.078125
im0211,0,0.078125
im0002,0,0.0625
im0249,0,0.078125
im0325,0,0.09375
im0127,0,0.0625
im0304,0,0.0625
im0392,0,0.09375
im0169,1,0.09375
im0072,0,0.078125
im0257,0,0.078125
im0166,0,0.078125
im0015,0,0.09375
im0009,0,0.078125
im0196,0,0.078125
im0375,0,0.078125
im0256,1,0.0625
im0396,0,0.078125
im0065,0,0.09375
im0376,0,0.09375
im0307,0,0.09375
im0371,0,0.078125
im0370,0,0.09375
im0020,0,0.078125
im0336,0,0.0625
im0253,0,0.09375
im0341,0,0.09375
im0237,0,0.078125
im0186,0,0.0625
im0332,0,0.09375
im0064,0,0.09375
im0373,0,0.078125
im0245,0,0.09375
im0240,0,0.0625
im0146,0,0.078125
im0398,0,0.109375
im0197,0,0.09375
im0028,0,0.078125
im0114,0,0.09375
im0284,0,0.078125
im0027,0,0.078125
im0045,0,0.09375
im0226,0,0.0625
im0147,0,0.078125
im0242,0,0.09375
im0203,1,0.09375
im0397,0,0.09375
im0049,0,0.125
im0305,0,0.125
im0268,0,0.078125
im0039,0,0.078125
im0384,0,0.078125
